"","Year","SeaLevel","SOI"
"1",1897,1.58,-0.67
"2",1898,1.71,0.57
"3",1899,1.4,0.16
"4",1900,1.34,-0.65
"5",1901,1.43,0.06
"7",1903,1.19,0.47
"8",1904,1.55,0.39
"9",1905,1.34,-1.78
"10",1906,1.37,0.2
"12",1908,1.46,0.28
"13",1909,1.92,0.28
"16",1912,1.37,-0.97
"18",1914,1.19,-0.92
"19",1915,1.4,0.16
"20",1916,1.28,0.62
"21",1917,1.52,2.12
"22",1918,1.52,0.05
"23",1919,1.58,-1.09
"24",1920,1.49,0.08
"25",1921,1.65,0.66
"26",1922,1.37,0.33
"27",1923,1.49,-0.36
"28",1924,1.46,0.33
"29",1925,1.34,-0.24
"31",1927,1.74,0.27
"32",1928,1.62,0.43
"33",1929,1.46,0.46
"34",1930,1.71,0.03
"35",1931,1.74,0.39
"36",1932,1.55,-0.68
"37",1933,1.43,0.09
"38",1934,1.62,-0.01
"39",1935,1.49,0.14
"40",1936,1.58,0.03
"41",1937,1.34,0.09
"42",1938,1.37,0.86
"43",1939,1.62,0.02
"44",1940,1.31,-1.52
"45",1941,1.43,-1.44
"47",1943,1.49,0.35
"48",1944,1.55,-0.27
"49",1945,1.71,0.42
"50",1946,1.49,-0.79
"51",1947,1.46,0.16
"52",1948,1.52,-0.24
"53",1949,1.58,-0.21
"54",1950,1.65,1.49
"55",1951,1.49,-0.69
"56",1952,1.52,-0.23
"57",1953,1.52,-0.76
"58",1954,1.49,0.23
"59",1955,1.62,0.89
"60",1956,1.86,1
"61",1957,1.58,-0.45
"62",1958,1.62,-0.5
"63",1959,1.46,-0.11
"64",1960,1.43,0.28
"65",1961,1.46,-0.01
"66",1962,1.62,0.38
"67",1963,1.68,-0.32
"68",1964,1.83,0.53
"69",1965,1.62,-0.97
"70",1966,1.46,-0.53
"71",1967,1.58,0.25
"72",1968,1.77,0.19
"73",1969,1.62,-0.66
"74",1970,1.71,0.28
"75",1971,1.46,1.06
"76",1972,1.6,-0.88
"77",1973,1.5,0.63
"78",1974,1.6,0.97
"79",1975,1.9,1.32
"80",1976,1.7,0.06
"81",1977,1.4,-1.13
"82",1978,1.8,-0.3
"83",1979,1.37,-0.08
"84",1980,1.46,-0.43
"85",1981,1.61,0.06
"86",1982,1.43,-1.44
"87",1983,1.67,-0.94
"88",1984,1.62,-0.14
"89",1985,1.57,-0.07
"90",1986,1.56,-0.32
"91",1987,1.46,-1.47
"92",1988,1.7,0.73
"93",1989,1.51,0.61
